"id","codbarras","nome","preco_venda"
57552,"7899616000138",COLCHA PATCHWORK BOUTI CASAL C/2 FR,"124,9"
57553,"7899616001043",COBERTOR VERMONT QUEEN SHERPA,"199"
57554,"7899616001050","MANTA TRICOT TRIBUS 1,52X1,27M SHER","89,9"
57555,"7899616000237","COLCHA PROVENCE CASAL 2,20X2,40M","108"
57556,"7899616000244","COLCHA PROVENCE CASAL 2,40X2,60M","129"
57557,"9990000002290",TOALHA BOCA MAY BABY 317 FELPA,"29,9"
57558,"9990000002245",TOALHA BOCA MAY BABY 314 FELPA,"24,9"
57559,"9990000001989",TOALHA MAY BABY 090,"29,9"
57560,"9990000002306",PANTUFA MAY BABY 318 RIBANA,"24,9"
57561,"9990000002474",GORRO MAY BABY 378 C/LUVA,"23,9"
